epsilon,attack,ECE,NLL,arch,train_eps
0.0,Clean,0.01832500286698341,0.6086025930404663,resnet18,0.02
0.01,Clean,0.01832500286698341,0.6086025930404663,resnet18,0.02
0.01,FGSM,0.13095397321134805,1.1080856544494628,resnet18,0.02
0.01,PGD-10,0.14232334199547766,1.1375965012550353,resnet18,0.02
0.02,Clean,0.01832500286698341,0.6086025930404663,resnet18,0.02
0.02,FGSM,0.2690827647417784,1.7788169441223145,resnet18,0.02
0.02,PGD-10,0.3306565279647708,1.9766907993316651,resnet18,0.02
0.04,Clean,0.01832500286698341,0.6086025930404663,resnet18,0.02
0.04,FGSM,0.5171220197081565,3.3476802276611326,resnet18,0.02
0.04,PGD-10,0.6963004706740379,4.660905922698975,resnet18,0.02
0.08,Clean,0.01832500286698341,0.6086025930404663,resnet18,0.02
0.08,FGSM,0.7284177185818552,5.928858178710938,resnet18,0.02
0.08,PGD-10,0.9535823333621024,12.39089266052246,resnet18,0.02
