epsilon,attack,ECE,NLL,arch,train_eps
0.0,Clean,0.12942058795243505,0.8998890080451966,resnet18,0.0
0.01,Clean,0.12942058795243505,0.8998890080451966,resnet18,0.0
0.01,FGSM,0.8031720688819886,10.601626704406739,resnet18,0.0
0.01,PGD-10,0.943113507810235,16.6507805267334,resnet18,0.0
0.02,Clean,0.12942058795243505,0.8998890080451966,resnet18,0.0
0.02,FGSM,0.9058644785225392,16.061397123718262,resnet18,0.0
0.02,PGD-10,0.9992735436260701,32.903442291259765,resnet18,0.0
0.04,Clean,0.12942058795243505,0.8998890080451966,resnet18,0.0
0.04,FGSM,0.9365044233918189,18.45209011230469,resnet18,0.0
0.04,PGD-10,0.9999998807907104,51.000924609375,resnet18,0.0
0.08,Clean,0.12942058795243505,0.8998890080451966,resnet18,0.0
0.08,FGSM,0.9057321083843708,16.490275201416015,resnet18,0.0
0.08,PGD-10,0.9999998807907104,65.22383215332032,resnet18,0.0
