epsilon,attack,accuracy,arch,train_eps
0.0,Clean,0.7134,smallcnn,0.08
0.01,Clean,0.7134,smallcnn,0.08
0.01,FGSM,0.3089,smallcnn,0.08
0.01,PGD-10,0.2102,smallcnn,0.08
0.01,PGD-40,0.1903,smallcnn,0.08
0.02,Clean,0.7134,smallcnn,0.08
0.02,FGSM,0.1579,smallcnn,0.08
0.02,PGD-10,0.0314,smallcnn,0.08
0.02,PGD-40,0.0183,smallcnn,0.08
0.04,Clean,0.7134,smallcnn,0.08
0.04,FGSM,0.1987,smallcnn,0.08
0.04,PGD-10,0.0002,smallcnn,0.08
0.04,PGD-40,0.0,smallcnn,0.08
0.08,Clean,0.7134,smallcnn,0.08
0.08,FGSM,0.8359,smallcnn,0.08
0.08,PGD-10,0.0,smallcnn,0.08
0.08,PGD-40,0.0,smallcnn,0.08
