epsilon,attack,accuracy,arch,train_eps
0.0,Clean,0.7683,smallcnn,0.0
0.01,Clean,0.7683,smallcnn,0.0
0.01,FGSM,0.3421,smallcnn,0.0
0.01,PGD-10,0.2495,smallcnn,0.0
0.01,PGD-40,0.23,smallcnn,0.0
0.02,Clean,0.7683,smallcnn,0.0
0.02,FGSM,0.1576,smallcnn,0.0
0.02,PGD-10,0.0461,smallcnn,0.0
0.02,PGD-40,0.0313,smallcnn,0.0
0.04,Clean,0.7683,smallcnn,0.0
0.04,FGSM,0.0424,smallcnn,0.0
0.04,PGD-10,0.0013,smallcnn,0.0
0.04,PGD-40,0.0006,smallcnn,0.0
0.08,Clean,0.7683,smallcnn,0.0
0.08,FGSM,0.0186,smallcnn,0.0
0.08,PGD-10,0.0,smallcnn,0.0
0.08,PGD-40,0.0,smallcnn,0.0
