epsilon,attack,ECE,NLL,arch,train_eps
0.0,Clean,0.044013271218538264,0.6886672166824341,smallcnn,0.0
0.01,Clean,0.044013271218538264,0.6886672166824341,smallcnn,0.0
0.01,FGSM,0.422146383844316,2.6218700370788572,smallcnn,0.0
0.01,PGD-10,0.5739825872153044,3.45619948348999,smallcnn,0.0
0.02,Clean,0.044013271218538264,0.6886672166824341,smallcnn,0.0
0.02,FGSM,0.6221297863408923,4.412512783813477,smallcnn,0.0
0.02,PGD-10,0.8784953919649123,7.663546571350098,smallcnn,0.0
0.04,Clean,0.044013271218538264,0.6886672166824341,smallcnn,0.0
0.04,FGSM,0.758307761913538,6.524217869567871,smallcnn,0.0
0.04,PGD-10,0.9846896141141653,16.115370910644533,smallcnn,0.0
0.08,Clean,0.044013271218538264,0.6886672166824341,smallcnn,0.0
0.08,FGSM,0.7710229977190495,7.754780599975586,smallcnn,0.0
0.08,PGD-10,0.9980592892229557,30.748001611328124,smallcnn,0.0
