epsilon,attack,accuracy,arch,train_eps
0.0,Clean,0.824,resnet18,0.01
0.01,Clean,0.824,resnet18,0.01
0.01,FGSM,0.6071,resnet18,0.01
0.01,PGD-10,0.5902,resnet18,0.01
0.02,Clean,0.824,resnet18,0.01
0.02,FGSM,0.4039,resnet18,0.01
0.02,PGD-10,0.3382,resnet18,0.01
0.04,Clean,0.824,resnet18,0.01
0.04,FGSM,0.1447,resnet18,0.01
0.04,PGD-10,0.0574,resnet18,0.01
0.08,Clean,0.824,resnet18,0.01
0.08,FGSM,0.0212,resnet18,0.01
0.08,PGD-10,0.0011,resnet18,0.01
0.0,Clean,0.7981,resnet18,0.02
0.01,Clean,0.7981,resnet18,0.02
0.01,FGSM,0.636,resnet18,0.02
0.01,PGD-10,0.6269,resnet18,0.02
0.02,Clean,0.7981,resnet18,0.02
0.02,FGSM,0.4762,resnet18,0.02
0.02,PGD-10,0.4325,resnet18,0.02
0.04,Clean,0.7981,resnet18,0.02
0.04,FGSM,0.2331,resnet18,0.02
0.04,PGD-10,0.1429,resnet18,0.02
0.08,Clean,0.7981,resnet18,0.02
0.08,FGSM,0.0567,resnet18,0.02
0.08,PGD-10,0.006,resnet18,0.02
0.0,Clean,0.7493,resnet18,0.04
0.01,Clean,0.7493,resnet18,0.04
0.01,FGSM,0.6286,resnet18,0.04
0.01,PGD-10,0.6198,resnet18,0.04
0.02,Clean,0.7493,resnet18,0.04
0.02,FGSM,0.5081,resnet18,0.04
0.02,PGD-10,0.4753,resnet18,0.04
0.04,Clean,0.7493,resnet18,0.04
0.04,FGSM,0.319,resnet18,0.04
0.04,PGD-10,0.2068,resnet18,0.04
0.08,Clean,0.7493,resnet18,0.04
0.08,FGSM,0.1229,resnet18,0.04
0.08,PGD-10,0.012,resnet18,0.04
0.0,Clean,0.7346,resnet18,0.08
0.01,Clean,0.7346,resnet18,0.08
0.01,FGSM,0.1309,resnet18,0.08
0.01,PGD-10,0.0303,resnet18,0.08
0.02,Clean,0.7346,resnet18,0.08
0.02,FGSM,0.144,resnet18,0.08
0.02,PGD-10,0.0027,resnet18,0.08
0.04,Clean,0.7346,resnet18,0.08
0.04,FGSM,0.4741,resnet18,0.08
0.04,PGD-10,0.0001,resnet18,0.08
0.08,Clean,0.7346,resnet18,0.08
0.08,FGSM,0.6313,resnet18,0.08
0.08,PGD-10,0.0,resnet18,0.08
0.0,Clean,0.8056,resnet18,0.0
0.01,Clean,0.8056,resnet18,0.0
0.01,FGSM,0.1428,resnet18,0.0
0.01,PGD-10,0.044,resnet18,0.0
0.02,Clean,0.8056,resnet18,0.0
0.02,FGSM,0.0535,resnet18,0.0
0.02,PGD-10,0.0005,resnet18,0.0
0.04,Clean,0.8056,resnet18,0.0
0.04,FGSM,0.0175,resnet18,0.0
0.04,PGD-10,0.0,resnet18,0.0
0.08,Clean,0.8056,resnet18,0.0
0.08,FGSM,0.012,resnet18,0.0
0.08,PGD-10,0.0,resnet18,0.0
0.0,Clean,0.7477,smallcnn,0.01
0.01,Clean,0.7477,smallcnn,0.01
0.01,FGSM,0.5363,smallcnn,0.01
0.01,PGD-10,0.5004,smallcnn,0.01
0.02,Clean,0.7477,smallcnn,0.01
0.02,FGSM,0.3637,smallcnn,0.01
0.02,PGD-10,0.2718,smallcnn,0.01
0.04,Clean,0.7477,smallcnn,0.01
0.04,FGSM,0.1663,smallcnn,0.01
0.04,PGD-10,0.0461,smallcnn,0.01
0.08,Clean,0.7477,smallcnn,0.01
0.08,FGSM,0.0493,smallcnn,0.01
0.08,PGD-10,0.0004,smallcnn,0.01
0.0,Clean,0.7118,smallcnn,0.02
0.01,Clean,0.7118,smallcnn,0.02
0.01,FGSM,0.5445,smallcnn,0.02
0.01,PGD-10,0.524,smallcnn,0.02
0.02,Clean,0.7118,smallcnn,0.02
0.02,FGSM,0.4116,smallcnn,0.02
