epsilon,attack,ECE,NLL,arch,train_eps
0.0,Clean,0.0577733958274125,0.5531917543411254,resnet18,0.01
0.01,Clean,0.0577733958274125,0.5531917543411254,resnet18,0.01
0.01,FGSM,0.2317601659417152,1.432090772151947,resnet18,0.01
0.01,PGD-10,0.2562117996007204,1.5135628088951112,resnet18,0.01
0.02,Clean,0.0577733958274125,0.5531917543411254,resnet18,0.01
0.02,FGSM,0.422668892532587,2.731209756851196,resnet18,0.01
0.02,PGD-10,0.524711380571127,3.291568200302124,resnet18,0.01
0.04,Clean,0.0577733958274125,0.5531917543411254,resnet18,0.01
0.04,FGSM,0.7061824907064438,5.610635586547851,resnet18,0.01
0.04,PGD-10,0.8909109117835761,8.761353755187988,resnet18,0.01
0.08,Clean,0.0577733958274125,0.5531917543411254,resnet18,0.01
0.08,FGSM,0.8627446999877691,9.239097161865237,resnet18,0.01
0.08,PGD-10,0.9947881637752056,20.68018308105469,resnet18,0.01
0.0,Clean,0.0183250028669834,0.6086025930404663,resnet18,0.02
0.01,Clean,0.0183250028669834,0.6086025930404663,resnet18,0.02
0.01,FGSM,0.130953973211348,1.1080856544494628,resnet18,0.02
0.01,PGD-10,0.1423233419954776,1.1375965012550353,resnet18,0.02
0.02,Clean,0.0183250028669834,0.6086025930404663,resnet18,0.02
0.02,FGSM,0.2690827647417784,1.7788169441223145,resnet18,0.02
0.02,PGD-10,0.3306565279647708,1.9766907993316647,resnet18,0.02
0.04,Clean,0.0183250028669834,0.6086025930404663,resnet18,0.02
0.04,FGSM,0.5171220197081565,3.3476802276611326,resnet18,0.02
0.04,PGD-10,0.6963004706740379,4.660905922698975,resnet18,0.02
0.08,Clean,0.0183250028669834,0.6086025930404663,resnet18,0.02
0.08,FGSM,0.7284177185818552,5.928858178710938,resnet18,0.02
0.08,PGD-10,0.9535823333621024,12.39089266052246,resnet18,0.02
0.0,Clean,0.0962776005476712,0.7531101895809174,resnet18,0.04
0.01,Clean,0.0962776005476712,0.7531101895809174,resnet18,0.04
0.01,FGSM,0.0258514364153146,1.031786988067627,resnet18,0.04
0.01,PGD-10,0.0225204743444919,1.0470525504112245,resnet18,0.04
0.02,Clean,0.0962776005476712,0.7531101895809174,resnet18,0.04
0.02,FGSM,0.0679508359238505,1.352919394302368,resnet18,0.04
0.02,PGD-10,0.1053331614613533,1.4493575677871704,resnet18,0.04
0.04,Clean,0.0962776005476712,0.7531101895809174,resnet18,0.04
0.04,FGSM,0.2290575945466757,2.047960121154785,resnet18,0.04
0.04,PGD-10,0.3963232545316219,2.7630330139160155,resnet18,0.04
0.08,Clean,0.0962776005476712,0.7531101895809174,resnet18,0.04
0.08,FGSM,0.4303377382010221,3.310542687225342,resnet18,0.04
0.08,PGD-10,0.7829074444741011,8.402108837890625,resnet18,0.04
0.0,Clean,0.1607848198339343,1.1265764081478118,resnet18,0.08
0.01,Clean,0.1607848198339343,1.1265764081478118,resnet18,0.08
0.01,FGSM,0.7829771382123232,8.552494149780273,resnet18,0.08
0.01,PGD-10,0.9548884921461344,15.06356040649414,resnet18,0.08
0.02,Clean,0.1607848198339343,1.1265764081478118,resnet18,0.08
0.02,FGSM,0.7694660175740718,8.193025538635254,resnet18,0.08
0.02,PGD-10,0.9954084218323228,23.71848240051269,resnet18,0.08
0.04,Clean,0.1607848198339343,1.1265764081478118,resnet18,0.08
0.04,FGSM,0.4156629019498825,3.2034680351257325,resnet18,0.08
